text,emotion
"I feel so happy today!","joy"
"This is the worst day of my life.","sadness"
"I am so angry at him.","anger"
"I'm terrified of what might happen.","fear"
"What a wonderful surprise!","joy"
"I feel so depressed and lonely.","sadness"
"He makes me so mad.","anger"
"I am scared of the dark.","fear"
"I am delighted with the results!","joy"
"My heart is broken.","sadness"
"I am furious about this decision!","anger"
"I feel so anxious and worried.","fear"
"The movie was absolutely amazing!","joy"
"I lost my favorite watch.","sadness"
"Stop bothering me right now.","anger"
"The loud noise startled me.","fear"
"I passed my exam!","joy"
"I miss my friends so much.","sadness"
"This service is completely unacceptable.","anger"
"I'm afraid I might fail.","fear"
